time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050110:0036,266,266,0,39.06,18.9,2.48,0
20050110:0136,440,289,0,51.57,20.73,2,0
20050110:0236,726,210,0,63.8,22.65,1.66,0
20050110:0336,950,122,0,74.58,24.38,2.21,0
20050110:0436,952,135,0,78.26,25.45,3.38,0
20050110:0536,892,144,0,70.3,25.53,4.28,0
20050110:0636,822,117,0,58.61,24.93,4.55,0
20050110:0736,795,23,0,46.2,23.86,4.9,0
20050110:0836,541,55,0,33.69,22.35,4.83,0
20050110:0936,324,46,0,21.33,20.88,4.14,0
20050110:1036,77,51,0,9.33,18.89,4.07,0
20050110:1136,0,0,0,0,17.09,3.45,0
20050110:1236,0,0,0,0,15.92,2.97,0
20050110:1336,0,0,0,0,15.11,2.62,0
20050110:1436,0,0,0,0,14.57,2.55,0
20050110:1536,0,0,0,0,14.4,2.48,0
20050110:1636,0,0,0,0,14.42,2.34,0
20050110:1736,0,0,0,0,14.53,2.21,0
20050110:1836,0,0,0,0,15.15,2.28,0
20050110:1936,0,0,0,0,15.26,1.93,0
20050110:2036,0,0,0,0,14.8,1.45,0
20050110:2136,1,0,0,2.73,14.41,1.31,1
20050110:2236,0,19,0,14.43,16.26,2.41,0
20050110:2336,8,245,0,26.46,17.31,2.48,0
20050111:0036,252,271,0,38.91,19.05,2.07,0
20050111:0136,646,165,0,51.42,20.79,1.86,0
20050111:0236,865,119,0,63.64,22.9,1.79,0
20050111:0336,986,96,0,74.4,24.82,1.86,0
20050111:0436,970,122,0,78.13,26.37,1.93,0
20050111:0536,944,109,0,70.27,27.48,1.93,0
20050111:0636,886,73,0,58.62,28.6,1.93,0
20050111:0736,718,76,0,46.21,28.59,2.48,0
20050111:0836,522,68,0,33.7,27.78,3.1,0
20050111:0936,252,91,0,21.34,26.31,3.66,0
20050111:1036,93,42,0,9.32,24.37,3.38,0
20050111:1136,0,0,0,0,22.33,3.17,0
20050111:1236,0,0,0,0,20.61,2.83,0
20050111:1336,0,0,0,0,19.07,2.55,0
20050111:1436,0,0,0,0,17.64,2.14,0
20050111:1536,0,0,0,0,16.37,2,0
20050111:1636,0,0,0,0,15.28,1.79,0
20050111:1736,0,0,0,0,14.41,1.66,0
20050111:1836,0,0,0,0,13.45,1.93,0
20050111:1936,0,0,0,0,12.86,1.86,0
20050111:2036,0,0,0,0,12.45,1.72,0
20050111:2136,1,0,0,2.57,12.32,1.52,1
20050111:2236,144,62,0,14.28,15.3,1.1,0
20050111:2336,606,34,0,26.31,19.31,1.03,0
20050112:0036,596,69,0,38.76,22.75,0.48,0
20050112:0136,795,65,0,51.27,25.4,0.21,0
20050112:0236,914,84,0,63.48,27.68,0.97,0
20050112:0336,1003,84,0,74.22,29.4,2.14,0
20050112:0436,988,110,0,77.99,30.25,3.24,0
20050112:0536,998,72,0,70.23,30.27,3.79,0
20050112:0636,869,85,0,58.62,29.52,4.14,0
20050112:0736,692,93,0,46.22,28.76,4.28,0
20050112:0836,503,81,0,33.71,27.8,4.14,0
20050112:0936,267,82,0,21.34,26.59,3.86,0
20050112:1036,93,42,0,9.31,24.83,3.1,0
20050112:1136,0,0,0,0,22.81,2.76,0
20050112:1236,0,0,0,0,21.01,2.41,0
