time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050112:0136,806,56,0,50.97,25.79,1.31,0
20050112:0236,911,86,0,63.3,27.43,1.72,0
20050112:0336,983,98,0,74.3,28.44,3.31,0
20050112:0436,1006,98,0,78.53,28.43,4.83,0
20050112:0536,944,110,0,70.78,27.69,5.79,0
20050112:0636,854,97,0,59.07,26.42,6,0
20050112:0736,706,86,0,46.59,25.8,6.14,0
20050112:0836,504,82,0,34.01,24.87,6,0
20050112:0936,305,59,0,21.58,23.67,5.52,0
20050112:1036,88,46,0,9.48,22.05,4.83,0
20050112:1136,0,0,0,0,20.56,4.34,0
20050112:1236,0,0,0,0,19.67,3.93,0
20050112:1336,0,0,0,0,19.03,3.79,0
20050112:1436,0,0,0,0,18.43,4,0
20050112:1536,0,0,0,0,17.89,4.21,0
20050112:1636,0,0,0,0,17.36,4.28,0
20050112:1736,0,0,0,0,16.91,4.55,0
20050112:1836,0,0,0,0,16.79,4.48,0
20050112:1936,0,0,0,0,16.86,4.41,0
20050112:2036,0,0,0,0,17.16,4.41,0
20050112:2136,0,0,0,1.89,17.62,4.48,1
20050112:2236,0,18,0,13.65,18.77,5.1,0
20050112:2336,0,54,0,25.73,19.72,5.86,0
20050113:0036,83,313,0,38.24,20.42,6.14,0
20050113:0136,252,373,0,50.82,21.25,6.55,0
20050113:0236,461,361,0,63.14,22.52,6.62,0
20050113:0336,858,180,0,74.11,23.73,6.69,0
20050113:0436,641,329,0,78.38,24.35,6.62,0
20050113:0536,909,133,0,70.74,25.31,6.62,0
20050113:0636,791,139,0,59.06,25.73,7.03,0
20050113:0736,667,112,0,46.6,25.58,7.24,0
20050113:0836,486,94,0,34.02,24.92,7.24,0
20050113:0936,267,84,0,21.58,23.73,7.17,0
20050113:1036,88,45,0,9.47,22.04,6.55,0
20050113:1136,0,0,0,0,20.24,6.62,0
20050113:1236,0,0,0,0,18.72,6.55,0
20050113:1336,0,0,0,0,17.43,6.48,0
20050113:1436,0,0,0,0,16.32,6.34,0
20050113:1536,0,0,0,0,15.4,6.07,0
20050113:1636,0,0,0,0,14.67,5.86,0
20050113:1736,0,0,0,0,14.09,5.66,0
20050113:1836,0,0,0,0,13.4,5.24,0
20050113:1936,0,0,0,0,13.09,4.97,0
20050113:2036,0,0,0,0,12.81,4.69,0
20050113:2136,0,0,0,1.72,12.82,4.48,1
20050113:2236,0,18,0,13.49,14.03,4.69,0
20050113:2336,52,288,0,25.57,15.82,5.59,0
20050114:0036,378,200,0,38.09,17.75,5.45,0
20050114:0136,663,149,0,50.67,19.77,4.97,0
20050114:0236,842,130,0,62.98,21.7,4.55,0
20050114:0336,963,110,0,73.93,23.47,4.34,0
20050114:0436,986,111,0,78.23,24.99,4.41,0
20050114:0536,926,122,0,70.69,26.17,4.62,0
20050114:0636,822,119,0,59.06,26.64,4.97,0
20050114:0736,667,112,0,46.6,26.89,5.24,0
20050114:0836,486,94,0,34.02,26.57,5.45,0
20050114:0936,267,84,0,21.57,25.88,5.52,0
20050114:1036,88,45,0,9.45,24.53,5.31,0
20050114:1136,0,0,0,0,22.7,5.72,0
20050114:1236,0,0,0,0,21.21,6,0
20050114:1336,0,0,0,0,19.86,5.93,0
20050114:1436,0,0,0,0,18.59,5.93,0
20050114:1536,0,0,0,0,17.53,5.79,0
20050114:1636,0,0,0,0,16.69,5.52,0
20050114:1736,0,0,0,0,16.03,5.24,0
20050114:1836,0,0,0,0,14.95,4.76,0
20050114:1936,0,0,0,0,14.45,4.55,0
20050114:2036,0,0,0,0,14.02,4.34,0
20050114:2136,0,0,0,1.55,13.89,4.28,1
20050114:2236,0,17,0,13.33,15.18,4.48,0
20050114:2336,240,247,0,25.42,17.09,5.31,0
20050115:0036,473,142,0,37.94,18.97,4.97,0
20050115:0136,728,105,0,50.51,20.98,4.62,0
20050115:0236,889,98,0,62.81,22.92,4.41,0
20050115:0336,980,97,0,73.74,24.62,4.48,0
20050115:0436,985,111,0,78.06,26.04,4.48,0
20050115:0536,943,110,0,70.64,27.11,4.41,0
20050115:0636,854,97,0,59.04,27.96,4.28,0
20050115:0736,693,95,0,46.6,28.2,4.34,0
20050115:0836,486,94,0,34.01,28.03,4.34,0
20050115:0936,267,84,0,21.56,27.47,4.41,0
20050115:1036,88,45,0,9.43,26.16,4.21,0
20050115:1136,0,0,0,0,24.68,4.9,0
20050115:1236,0,0,0,0,23.31,5.72,0
20050115:1336,0,0,0,0,21.71,6.48,0
20050115:1436,0,0,0,0,20.01,6.55,0
20050115:1536,0,0,0,0,18.61,6.55,0
20050115:1636,0,0,0,0,17.54,6.48,0
20050115:1736,0,0,0,0,16.7,6.34,0
20050115:1836,0,0,0,0,15.59,6.28,0
20050115:1936,0,0,0,0,15.09,6.21,0
20050115:2036,0,0,0,0,14.76,6.07,0
20050115:2136,0,0,0,1.38,14.74,6.21,1
20050115:2236,0,17,0,13.17,15.88,6.28,0
20050115:2336,298,217,0,25.26,18.07,6.48,0
20050116:0036,530,103,0,37.78,20.84,6.07,0
20050116:0136,740,95,0,50.36,23.56,5.38,0
20050116:0236,855,119,0,62.65,26.04,4.48,0
20050116:0336,978,98,0,73.54,28.06,3.66,0
20050116:0436,985,110,0,77.89,29.44,2.76,0
20050116:0536,942,110,0,70.57,30.29,2.28,0
20050116:0636,853,97,0,59.02,30.88,2.76,0
20050116:0736,594,159,0,46.59,31.16,2.76,0
20050116:0836,315,197,0,34,30.98,2.69,0
20050116:0936,193,126,0,21.54,30.38,2.28,0
20050116:1036,26,69,0,9.4,28.94,2,0
20050116:1136,0,0,0,0,27,2.62,0
20050116:1236,0,0,0,0,25.51,3.17,0
20050116:1336,0,0,0,0,24.49,3.72,0
20050116:1436,0,0,0,0,23.64,4.14,0
20050116:1536,0,0,0,0,22.93,4.62,0
20050116:1636,0,0,0,0,22.19,5.31,0
20050116:1736,0,0,0,0,21.58,5.66,0
20050116:1836,0,0,0,0,20.88,5.72,0
20050116:1936,0,0,0,0,20.75,5.45,0
20050116:2036,0,0,0,0,20.86,5.24,0
20050116:2136,0,0,0,1.21,21.1,5.17,1
20050116:2236,0,17,0,13,22.77,5.1,0
20050116:2336,62,287,0,25.1,25.48,5.03,0
20050117:0036,174,292,0,37.62,28.19,5.03,0
20050117:0136,311,344,0,50.2,30.66,4.34,0
20050117:0236,425,374,0,62.48,32.83,3.59,0
20050117:0336,595,338,0,73.34,34.4,2.76,0
20050117:0436,683,302,0,77.71,35.19,2.34,0
20050117:0536,697,267,0,70.5,35.4,2.62,0
20050117:0636,731,177,0,58.99,35.08,2.28,0
20050117:0736,630,136,0,46.57,33.92,4.07,0
20050117:0836,450,117,0,33.99,30.97,4.14,0
20050117:0936,218,112,0,21.52,28.87,3.31,0
20050117:1036,1,51,0,9.36,27.15,2.62,0
20050117:1136,0,0,0,0,25.22,2.83,0
20050117:1236,0,0,0,0,23.69,2.34,0
20050117:1336,0,0,0,0,22.8,1.72,0
20050117:1436,0,0,0,0,22.38,2.21,0
20050117:1536,0,0,0,0,21.73,2.62,0
20050117:1636,0,0,0,0,20.87,3.24,0
20050117:1736,0,0,0,0,19.97,3.59,0
20050117:1836,0,0,0,0,19.53,4.62,0
20050117:1936,0,0,0,0,18.72,5.1,0
20050117:2036,0,0,0,0,18.11,5.17,0
20050117:2136,0,0,0,1.03,17.63,4.97,1
20050117:2236,22.65,23.3,0,12.83,18.51,5.79,1
20050117:2336,0,169,0,24.94,19.68,5.86,0
20050118:0036,184,287,0,37.47,21.21,5.93,0
20050118:0136,581,195,0,50.04,22.72,5.86,0
20050118:0236,819,141,0,62.31,24.35,5.59,0
20050118:0336,957,110,0,73.14,25.65,5.86,0
20050118:0436,983,110,0,77.52,26.66,6.07,0
20050118:0536,941,110,0,70.42,27.22,6.69,0
20050118:0636,821,118,0,58.96,27.26,7.1,0
20050118:0736,692,95,0,46.55,27.04,7.17,0
20050118:0836,504,81,0,33.97,26.32,7.24,0
20050118:0936,282,73,0,21.49,25.05,6.97,0
20050118:1036,85,46,0,9.32,23.37,5.93,0
20050118:1136,0,0,0,0,21.63,5.72,0
20050118:1236,0,0,0,0,20.22,5.79,0
20050118:1336,0,0,0,0,18.88,5.66,0
20050118:1436,0,0,0,0,17.6,5.31,0
20050118:1536,0,0,0,0,16.47,5.17,0
20050118:1636,0,0,0,0,15.49,5.17,0
20050118:1736,0,0,0,0,14.69,4.9,0
20050118:1836,0,0,0,0,13.71,4.97,0
20050118:1936,0,0,0,0,13.1,4.9,0
20050118:2036,0,0,0,0,12.71,4.9,0
20050118:2136,0,0,0,0.86,12.59,4.83,1
20050118:2236,0,16,0,12.67,13.69,5.52,0
20050118:2336,328,196,0,24.78,15.47,5.66,0
20050119:0036,512,110,0,37.31,17.76,5.24,0
20050119:0136,747,86,0,49.88,20.11,4.69,0
20050119:0236,866,108,0,62.13,22.37,3.93,0
20050119:0336,974,98,0,72.94,24.34,3.31,0
20050119:0436,1000,98,0,77.33,25.96,2.9,0
20050119:0536,940,110,0,70.34,27.09,3.03,0
20050119:0636,868,86,0,58.92,27.23,3.86,0
20050119:0736,692,94,0,46.53,27.45,4.14,0
20050119:0836,503,82,0,33.94,27.28,4.14,0
20050119:0936,297,63,0,21.46,26.67,3.93,0
20050119:1036,84,46,0,9.28,25.19,3.38,0
20050119:1136,0,0,0,0,23.3,3.31,0
20050119:1236,0,0,0,0,22.05,3.38,0
20050119:1336,0,0,0,0,21.1,3.45,0
20050119:1436,0,0,0,0,20.3,3.79,0
20050119:1536,0,0,0,0,19.67,4.07,0
20050119:1636,0,0,0,0,19.03,4.28,0
20050119:1736,0,0,0,0,18.22,4.21,0
20050119:1836,0,0,0,0,16.96,3.93,0
20050119:1936,0,0,0,0,16.18,3.79,0
20050119:2036,0,0,0,0,15.57,3.59,0
20050119:2136,0,0,0,0.68,15.24,3.38,1
20050119:2236,38,92,0,12.5,16.56,3.38,0
20050119:2336,520,76,0,24.61,18.86,3.1,0
20050120:0036,550,83,0,37.15,21.52,2.41,0
20050120:0136,745,85,0,49.72,23.95,1.66,0
20050120:0236,897,86,0,61.96,25.69,1.86,0
20050120:0336,954,110,0,72.73,26.92,2.69,0
20050120:0436,981,110,0,77.13,27.71,3.59,0
20050120:0536,940,109,0,70.24,27.94,4.34,0
20050120:0636,851,97,0,58.87,27.57,5.38,0
20050120:0736,691,95,0,46.49,26.5,6.62,0
20050120:0836,484,94,0,33.91,25,6.97,0
20050120:0936,281,73,0,21.42,23.79,6.41,0
20050120:1036,82,46,0,9.23,22.63,5.38,0
20050120:1136,0,0,0,0,21.62,5.24,0
20050120:1236,0,0,0,0,20.96,4.97,0
20050120:1336,0,0,0,0,20.27,4.97,0
20050120:1436,0,0,0,0,19.58,5.17,0
20050120:1536,0,0,0,0,18.96,5.1,0
20050120:1636,0,0,0,0,18.4,4.83,0
20050120:1736,0,0,0,0,17.8,4.34,0
20050120:1836,0,0,0,0,16.79,4.55,0
20050120:1936,0,0,0,0,16.23,4.55,0
20050120:2036,0,0,0,0,15.77,4.28,0
20050120:2136,0,0,0,0.49,15.48,4,1
20050120:2236,0,42,0,12.33,16.64,4.14,0
20050120:2336,270,223,0,24.45,18.84,3.86,0
20050121:0036,507,109,0,36.99,21.55,2.97,0
20050121:0136,701,114,0,49.55,24.09,2.21,0
20050121:0236,862,108,0,61.78,26.1,2.62,0
20050121:0336,971,98,0,72.51,27.49,3.66,0
20050121:0436,979,111,0,76.92,28.31,4.28,0
20050121:0536,939,110,0,70.14,28.7,4.9,0
20050121:0636,851,97,0,58.82,28.11,5.79,0
20050121:0736,704,85,0,46.45,27.19,6.41,0
20050121:0836,521,69,0,33.87,25.98,6.48,0
20050121:0936,280,73,0,21.37,24.67,6.07,0
20050121:1036,94,39,0,9.17,23.21,5.03,0
20050121:1136,0,0,0,0,22.08,4.69,0
20050121:1236,0,0,0,0,21.45,4.48,0
20050121:1336,0,0,0,0,20.98,4.41,0
20050121:1436,0,0,0,0,20.61,4.48,0
20050121:1536,0,0,0,0,20.17,4.69,0
20050121:1636,0,0,0,0,19.49,4.83,0
20050121:1736,0,0,0,0,18.72,4.62,0
20050121:1836,0,0,0,0,17.74,4.69,0
20050121:1936,0,0,0,0,17.15,4.62,0
20050121:2036,0,0,0,0,16.72,4.69,0
20050121:2136,0,0,0,0.31,16.55,4.69,1
20050121:2236,15,87,0,12.15,17.81,4.76,0
20050121:2336,442,122,0,24.28,20.3,4.48,0
20050122:0036,565,69,0,36.83,23.34,3.72,0
20050122:0136,740,86,0,49.39,26.24,2.69,0
20050122:0236,876,97,0,61.6,28.46,2,0
20050122:0336,969,98,0,72.3,30.02,2.34,0
20050122:0436,978,111,0,76.7,31.13,3.1,0
20050122:0536,956,97,0,70.03,31.79,4.07,0
20050122:0636,850,97,0,58.76,31.84,5.17,0
20050122:0736,690,94,0,46.41,31.34,6,0
20050122:0836,492,88,0,33.83,30.24,6.21,0
20050122:0936,279,73,0,21.33,29.04,5.45,0
20050122:1036,79,47,0,9.11,27.71,4.9,0
20050122:1136,0,0,0,0,26.52,4.62,0
20050122:1236,0,0,0,0,25.88,4.62,0
20050122:1336,0,0,0,0,25.43,4.69,0
20050122:1436,0,0,0,0,25.07,5.17,0
